timestamp,event_type,process_name,file_path,run_count,parser
2023-12-26T00:37:06.148700+00:00,AppExecution,SPPSVC.EXE,\Windows\Prefetch\SPPSVC.EXE-7B160CA5.pf,,prefetch
2023-12-26T00:37:06.951838+00:00,AppExecution,SVCHOST.EXE,\Windows\Prefetch\SVCHOST.EXE-9EE9EA94.pf,,prefetch
2023-12-26T00:37:06.951838+00:00,AppExecution,SVCHOST.EXE,\Windows\Prefetch\SVCHOST.EXE-9EE9EA94.pf,,prefetch
2023-12-26T00:37:06.951838+00:00,AppExecution,SVCHOST.EXE,\Windows\Prefetch\SVCHOST.EXE-9EE9EA94.pf,,prefetch
2023-12-26T00:37:07.947361+00:00,AppLaunch,Firefox Installer.exe,\Users\User\Downloads\Firefox Installer.exe,,filestat
2023-12-26T00:37:07.947361+00:00,AppLaunch,Firefox Installer.exe,\Users\User\Downloads\Firefox Installer.exe,,filestat
2023-12-26T00:37:07.947361+00:00,AppLaunch,Firefox Installer.exe,\Users\User\Downloads\Firefox Installer.exe,,filestat
2023-12-26T00:37:08.504594+00:00,AppExecution,UHSSVC.EXE,\Windows\Prefetch\UHSSVC.EXE-5C42B91C.pf,,prefetch
2023-12-26T00:37:08.504594+00:00,AppExecution,UHSSVC.EXE,\Windows\Prefetch\UHSSVC.EXE-5C42B91C.pf,,prefetch
2023-12-26T00:37:09.857762+00:00,AppExecution,SVCHOST.EXE,\Windows\Prefetch\SVCHOST.EXE-9EE9EA94.pf,,prefetch
2023-12-26T00:37:09.857762+00:00,AppExecution,SVCHOST.EXE,\Windows\Prefetch\SVCHOST.EXE-9EE9EA94.pf,,prefetch
2023-12-26T00:37:13.844144+00:00,AppExecution,SVCHOST.EXE,\Windows\Prefetch\SVCHOST.EXE-9EE9EA94.pf,,prefetch
2023-12-26T00:37:43.693234+00:00,AppExecution,,\Windows\System32\config\SYSTEM,,winreg/bam
2023-12-26T00:37:46.642000+00:00,AppLaunch,,\Users\User\NTUSER.DAT,,winreg/userassist
2023-12-26T00:37:46.642000+00:00,AppLaunch,,\Users\User\NTUSER.DAT,,winreg/userassist
