timestamp,event_type,event_id,message,parser
2023-12-26T00:37:53.732065+00:00,SystemEvent,,[9643 / 0x25ab] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['0x00000000'] Computer Name: WinDev2311Eval Record Number: 8890 Event Level: 5,winevtx
2023-12-26T00:37:54.588050+00:00,SystemEvent,,[39 / 0x0027] Provider identifier: {f1ef270a-0d32-4352-ba52-dbab41e1d859} Source Name: Microsoft-Windows-AppModel-Runtime Strings: ['Microsoft.VP9VideoExtensions_8wekyb3d8bbwe'] Computer Name: WinDev2311Eval Record Number: 351 Event Level: 4,winevtx
2023-12-26T00:37:54.588050+00:00,SystemEvent,,[39 / 0x0027] Provider identifier: {f1ef270a-0d32-4352-ba52-dbab41e1d859} Source Name: Microsoft-Windows-AppModel-Runtime Strings: ['Microsoft.VP9VideoExtensions_8wekyb3d8bbwe'] Computer Name: WinDev2311Eval Record Number: 351 Event Level: 4,winevtx
2023-12-26T00:37:54.613246+00:00,SystemEvent,,[16 / 0x0010] Provider identifier: {a68ca8b7-004f-d7b6-a698-07e2de0f1f5d} Source Name: Microsoft-Windows-Kernel-General Strings: ['101'  '\\??\\C:\\Users\\User\\AppData\\Local\\Packages\\Microsoft.Windows.Photos_8wekyb3d8bbwe\\Settings\\settings.dat'  '3'  '1'] Computer Name: WinDev2311Eval Record Number: 1889 Event Level: 4,winevtx
2023-12-26T00:37:54.613246+00:00,SystemEvent,,[16 / 0x0010] Provider identifier: {a68ca8b7-004f-d7b6-a698-07e2de0f1f5d} Source Name: Microsoft-Windows-Kernel-General Strings: ['101'  '\\??\\C:\\Users\\User\\AppData\\Local\\Packages\\Microsoft.Windows.Photos_8wekyb3d8bbwe\\Settings\\settings.dat'  '3'  '1'] Computer Name: WinDev2311Eval Record Number: 1889 Event Level: 4,winevtx
2023-12-26T00:37:54.620547+00:00,SystemEvent,,[2097 / 0x0831] Provider identifier: {d1bc9aff-2abf-4d71-9146-ecb2a986eb85} Source Name: Microsoft-Windows-Windows Firewall With Advanced Security Strings: ['{65C9D035-8501-439E-94A1-50D985590F09}'  '@{Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.VP9VideoExtensions/Resources/AppStoreName}'  '1'  ''  ''  '1'  '256'  ''  ''  '2'  '2147483647'  '*'  '*'  ''  '' ,winevtx
2023-12-26T00:37:54.620547+00:00,SystemEvent,,[2097 / 0x0831] Provider identifier: {d1bc9aff-2abf-4d71-9146-ecb2a986eb85} Source Name: Microsoft-Windows-Windows Firewall With Advanced Security Strings: ['{65C9D035-8501-439E-94A1-50D985590F09}'  '@{Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.VP9VideoExtensions/Resources/AppStoreName}'  '1'  ''  ''  '1'  '256'  ''  ''  '2'  '2147483647'  '*'  '*'  ''  '' ,winevtx
2023-12-26T00:37:54.634125+00:00,SystemEvent,,[2097 / 0x0831] Provider identifier: {d1bc9aff-2abf-4d71-9146-ecb2a986eb85} Source Name: Microsoft-Windows-Windows Firewall With Advanced Security Strings: ['{1B6BE49B-B6DB-489E-AE8B-FE7203924C70}'  '@{Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.VP9VideoExtensions/Resources/AppStoreName}'  '1'  ''  ''  '2'  '256'  ''  ''  '2'  '2147483647'  '*'  '*'  ''  '' ,winevtx
2023-12-26T00:37:54.634125+00:00,SystemEvent,,[2097 / 0x0831] Provider identifier: {d1bc9aff-2abf-4d71-9146-ecb2a986eb85} Source Name: Microsoft-Windows-Windows Firewall With Advanced Security Strings: ['{1B6BE49B-B6DB-489E-AE8B-FE7203924C70}'  '@{Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.VP9VideoExtensions/Resources/AppStoreName}'  '1'  ''  ''  '2'  '256'  ''  ''  '2'  '2147483647'  '*'  '*'  ''  '' ,winevtx
2023-12-26T00:37:54.853710+00:00,SystemEvent,,[2413 / 0x096d] Provider identifier: {88cd9180-4491-4640-b571-e3bee2527943} Source Name: Microsoft-Windows-PushNotifications-Platform Strings: ['Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe'  'Microsoft.VP9VideoExtensions_8wekyb3d8bbwe!App'  '67139328'  '268435456'  '0'] Computer Name: WinDev2311Eval Record Number: 1695 Event Level: 4,winevtx
2023-12-26T00:37:54.853710+00:00,SystemEvent,,[2413 / 0x096d] Provider identifier: {88cd9180-4491-4640-b571-e3bee2527943} Source Name: Microsoft-Windows-PushNotifications-Platform Strings: ['Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe'  'Microsoft.VP9VideoExtensions_8wekyb3d8bbwe!App'  '67139328'  '268435456'  '0'] Computer Name: WinDev2311Eval Record Number: 1695 Event Level: 4,winevtx
2023-12-26T00:37:54.857868+00:00,SystemEvent,,[5507 / 0x1583] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe'  'C:\\Program Files\\WindowsApps\\Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe\\microsoft.system.package.metadata\\S-1-5-21-2701124392-30314147-1419915659-1000-MergedResources-*.pri'  ,winevtx
2023-12-26T00:37:54.857868+00:00,SystemEvent,,[5507 / 0x1583] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe'  'C:\\Program Files\\WindowsApps\\Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe\\microsoft.system.package.metadata\\S-1-5-21-2701124392-30314147-1419915659-1000-MergedResources-*.pri'  ,winevtx
2023-12-26T00:37:54.858088+00:00,SystemEvent,,[5507 / 0x1583] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe'  'C:\\Program Files\\WindowsApps\\Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe\\microsoft.system.package.metadata\\Resources.????????.pri'  'No shared merged files found'] Computer Nam,winevtx
2023-12-26T00:37:54.858088+00:00,SystemEvent,,[5507 / 0x1583] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe'  'C:\\Program Files\\WindowsApps\\Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe\\microsoft.system.package.metadata\\Resources.????????.pri'  'No shared merged files found'] Computer Nam,winevtx
2023-12-26T00:37:54.858257+00:00,SystemEvent,,[5507 / 0x1583] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe'  'C:\\Program Files\\WindowsApps\\Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe\\microsoft.system.package.metadata\\S-1-5-21-2701124392-30314147-1419915659-1000-MergedResources-*.pri'  ,winevtx
