event,event_type,timestamp,parser,source
http://example.org/ord2i#Event_013731,FileSystemOp,2023-12-26T00:38:00.913611+00:00,filestat,FILE
http://example.org/ord2i#Event_013732,FileSystemOp,2023-12-26T00:38:00.916405+00:00,filestat,FILE
http://example.org/ord2i#Event_013733,FileSystemOp,2023-12-26T00:38:00.916405+00:00,filestat,FILE
http://example.org/ord2i#Event_013734,FileCreate,2023-12-26T00:38:00.918247+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013735,FileSystemOp,2023-12-26T00:38:00.918247+00:00,filestat,FILE
http://example.org/ord2i#Event_013736,FileSystemOp,2023-12-26T00:38:00.918247+00:00,filestat,FILE
http://example.org/ord2i#Event_013737,FileCreate,2023-12-26T00:38:00.919257+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013738,FileModify,2023-12-26T00:38:00.920220+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013739,FileSystemOp,2023-12-26T00:38:00.920220+00:00,filestat,FILE
http://example.org/ord2i#Event_013740,FileDelete,2023-12-26T00:38:00.921487+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013741,FileSystemOp,2023-12-26T00:38:00.927015+00:00,filestat,FILE
http://example.org/ord2i#Event_013742,FileSystemOp,2023-12-26T00:38:00.927015+00:00,filestat,FILE
http://example.org/ord2i#Event_013743,FileSystemOp,2023-12-26T00:38:00.927015+00:00,filestat,FILE
http://example.org/ord2i#Event_013744,FileCreate,2023-12-26T00:38:00.936192+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013745,FileSystemOp,2023-12-26T00:38:00.936192+00:00,filestat,FILE
http://example.org/ord2i#Event_013746,SystemEvent,2023-12-26T00:38:00.936200+00:00,winevtx,EVT
http://example.org/ord2i#Event_013747,SystemEvent,2023-12-26T00:38:00.936200+00:00,winevtx,EVT
http://example.org/ord2i#Event_013748,FileCreate,2023-12-26T00:38:00.937282+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013749,FileModify,2023-12-26T00:38:00.939432+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013750,FileDelete,2023-12-26T00:38:00.939432+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013751,FileCreate,2023-12-26T00:38:00.942532+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013752,FileCreate,2023-12-26T00:38:00.945525+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013753,FileModify,2023-12-26T00:38:00.962510+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013754,FileDelete,2023-12-26T00:38:00.963333+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013755,FileCreate,2023-12-26T00:38:00.968435+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013756,FileSystemOp,2023-12-26T00:38:00.968435+00:00,filestat,FILE
http://example.org/ord2i#Event_013757,FileSystemOp,2023-12-26T00:38:00.968435+00:00,filestat,FILE
http://example.org/ord2i#Event_013758,FileSystemOp,2023-12-26T00:38:00.968435+00:00,filestat,FILE
http://example.org/ord2i#Event_013759,FileSystemOp,2023-12-26T00:38:00.968435+00:00,filestat,FILE
http://example.org/ord2i#Event_013760,FileCreate,2023-12-26T00:38:00.970481+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013761,FileCreate,2023-12-26T00:38:00.986064+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013762,FileSystemOp,2023-12-26T00:38:00.986064+00:00,filestat,FILE
http://example.org/ord2i#Event_013763,FileCreate,2023-12-26T00:38:00.987409+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013764,FileCreate,2023-12-26T00:38:00.998283+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013765,FileCreate,2023-12-26T00:38:00.998283+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013766,FileCreate,2023-12-26T00:38:00.999375+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013767,FileSystemOp,2023-12-26T00:38:00.999375+00:00,filestat,FILE
http://example.org/ord2i#Event_013768,RegistryModify,2023-12-26T00:38:01.100320+00:00,winreg/winreg_default,REG
http://example.org/ord2i#Event_013769,RegistryModify,2023-12-26T00:38:01.100320+00:00,winreg/winreg_default,REG
http://example.org/ord2i#Event_013770,RegistryModify,2023-12-26T00:38:01.103301+00:00,winreg/winreg_default,REG
http://example.org/ord2i#Event_013771,FileCreate,2023-12-26T00:38:01.105256+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013772,FileCreate,2023-12-26T00:38:01.105256+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013773,FileSystemOp,2023-12-26T00:38:01.105256+00:00,filestat,FILE
http://example.org/ord2i#Event_013774,FileSystemOp,2023-12-26T00:38:01.105256+00:00,filestat,FILE
http://example.org/ord2i#Event_013775,FileSystemOp,2023-12-26T00:38:01.105256+00:00,filestat,FILE
http://example.org/ord2i#Event_013776,FileModify,2023-12-26T00:38:01.113034+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013777,FileDelete,2023-12-26T00:38:01.113034+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013778,FileModify,2023-12-26T00:38:01.113034+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013779,FileDelete,2023-12-26T00:38:01.178580+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013780,FileCreate,2023-12-26T00:38:01.258436+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013781,FileSystemOp,2023-12-26T00:38:01.258436+00:00,filestat,FILE
http://example.org/ord2i#Event_013782,FileSystemOp,2023-12-26T00:38:01.258436+00:00,filestat,FILE
http://example.org/ord2i#Event_013783,FileSystemOp,2023-12-26T00:38:01.258436+00:00,filestat,FILE
http://example.org/ord2i#Event_013784,AppExecution,2023-12-26T00:38:01.258436+00:00,prefetch,LOG
http://example.org/ord2i#Event_013785,FileCreate,2023-12-26T00:38:01.265173+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013786,FileSystemOp,2023-12-26T00:38:01.265173+00:00,filestat,FILE
http://example.org/ord2i#Event_013787,FileSystemOp,2023-12-26T00:38:01.265173+00:00,filestat,FILE
http://example.org/ord2i#Event_013788,FileSystemOp,2023-12-26T00:38:01.265173+00:00,filestat,FILE
http://example.org/ord2i#Event_013789,FileCreate,2023-12-26T00:38:01.266832+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013790,FileModify,2023-12-26T00:38:01.275127+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013791,FileDelete,2023-12-26T00:38:01.275127+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013792,FileSystemOp,2023-12-26T00:38:01.275127+00:00,filestat,FILE
http://example.org/ord2i#Event_013793,FileCreate,2023-12-26T00:38:01.289518+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013794,RegistryModify,2023-12-26T00:38:01.383384+00:00,winreg/winreg_default,REG
http://example.org/ord2i#Event_013795,FileCreate,2023-12-26T00:38:01.397985+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013796,FileCreate,2023-12-26T00:38:01.397985+00:00,usnjrnl,FILE
http://example.org/ord2i#Event_013797,FileSystemOp,2023-12-26T00:38:01.397985+00:00,filestat,FILE
http://example.org/ord2i#Event_013798,FileSystemOp,2023-12-26T00:38:01.397985+00:00,filestat,FILE
